"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Ensembl_ID"
"ENSG00000000003",14.7829987454473,-0.867036970485609,0.268031862524798,-3.23482798768147,0.00121716034441176,0.01227487182399,"ENSG00000000003"
"ENSG00000000419",807.063533769624,-0.0790473804497307,0.0510625889639443,-1.54804881721815,0.121610543588763,0.32456967065677,"ENSG00000000419"
"ENSG00000000457",1011.88562722814,-0.0366439087598644,0.0538000803154174,-0.681112528922442,0.495800289912681,0.762996927823728,"ENSG00000000457"
"ENSG00000000460",263.697961319131,0.0428079643780406,0.0720882250748989,0.593827415414426,0.552627550487009,0.809185090677315,"ENSG00000000460"
"ENSG00000000938",15838.1559189428,0.239439796243845,0.105545736657933,2.26858804368246,0.0232933893750316,0.104656980766789,"ENSG00000000938"
"ENSG00000000971",247.338425908002,-0.511263659953018,0.197499876348242,-2.5886783799881,0.00963450324481529,0.0552060480923117,"ENSG00000000971"
"ENSG00000001036",1135.21675587205,-0.0120499428053126,0.10314135126302,-0.116829406031186,0.906995240670976,0.98830627353943,"ENSG00000001036"
"ENSG00000001084",1160.08947776572,0.28183970646442,0.0583839045056817,4.82735282695922,1.3835986725745e-06,6.75294479025577e-05,"ENSG00000001084"
"ENSG00000001167",1893.32576323228,-0.0241645029189566,0.0515942627159976,-0.468356395593266,0.639529744950334,0.87165334151215,"ENSG00000001167"
"ENSG00000001460",110.698020389574,-0.181774895759585,0.0796950843024944,-2.28087964710134,0.0225555696267591,0.102162982122596,"ENSG00000001460"
"ENSG00000001461",1332.35433212814,-0.0856899485572291,0.0620893439127495,-1.38010716746571,0.16755365077443,0.397343285780279,"ENSG00000001461"
"ENSG00000001497",1158.90707050669,-0.0747210576477428,0.0393019913241155,-1.90120284317233,0.0572754488396494,0.19455451053513,"ENSG00000001497"
"ENSG00000001561",932.152497821286,0.619692363966953,0.11440189743338,5.41680145058624,6.06746535318278e-08,5.25573688025698e-06,"ENSG00000001561"
"ENSG00000001617",0.564033201263474,0.494958665229791,0.828480665630232,0.597429349607419,0.550220763420683,0.807502599258145,"ENSG00000001617"
"ENSG00000001626",0.0675110677643231,0.576774302219833,3.89073517191441,0.148243012370342,0.882150987835329,0.98486525864585,"ENSG00000001626"
"ENSG00000001629",1642.80956633759,0.106914992895008,0.0521244896063966,2.05114704627991,0.0402526289286363,0.152764565679431,"ENSG00000001629"
